epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.9693252000639235,0.8201248799231509,1.498221860063035,0.6764604810996564,0.0005
2,0.5294247911826105,0.9624879923150816,1.3723523468496055,0.7121993127147767,0.0005
3,0.46764742578598995,0.9797790585975024,1.378343645076162,0.7044673539518901,0.0005
4,0.4384885072879901,0.988088376560999,1.3349987642871555,0.7240549828178694,0.0005
5,0.4249328345890577,0.9896733909702209,1.2951442580042836,0.7393470790378007,0.0005
6,0.39993175519531904,0.9968299711815563,1.231220959429069,0.7487972508591065,0.00025
7,0.3940431189296569,0.9982228626320845,1.2727509477294188,0.7448453608247423,0.00025
8,0.3913968053033556,0.9984149855907781,1.2626407660979175,0.75446735395189,0.00025
9,0.3901066411812642,0.9986551392891451,1.2264126819433625,0.7585910652920962,0.00025
10,0.3907192062346782,0.9985110470701248,1.2015718956583554,0.7596219931271477,0.00025
11,0.3867000318569821,0.9993756003842459,1.2115108080336319,0.7627147766323024,0.000125
12,0.3855206342927546,0.9992795389048992,1.2296060045150548,0.7572164948453608,0.000125
13,0.3842295478732396,0.9998078770413065,1.1975885071705297,0.7644329896907216,0.000125
14,0.38417827217310924,0.9997598463016331,1.198265847635433,0.7678694158075602,0.000125
15,0.3840629065013871,0.9993756003842459,1.1902004391876693,0.7671821305841925,0.000125
16,0.38384892152090927,0.9994236311239193,1.1982363629586918,0.7649484536082474,6.25e-05
17,0.3826911923864733,0.9997598463016331,1.1948155494899684,0.7663230240549829,6.25e-05
18,0.38208521499184894,0.9999519692603266,1.2169889386167232,0.7584192439862543,6.25e-05
19,0.3822860590204611,0.9999039385206532,1.1788697677789275,0.7663230240549829,6.25e-05
20,0.3821299210978058,0.9996157540826128,1.1819118521057863,0.7687285223367698,6.25e-05
